# energy dos
-2.439949999999999974e+01 0.000000000000000000e+00
-2.438710000000000022e+01 0.000000000000000000e+00
-2.437469999999999715e+01 0.000000000000000000e+00
-2.436239999999999739e+01 0.000000000000000000e+00
-2.434999999999999787e+01 0.000000000000000000e+00
-2.433769999999999811e+01 0.000000000000000000e+00
-2.432529999999999859e+01 0.000000000000000000e+00
-2.431289999999999907e+01 0.000000000000000000e+00
-2.430059999999999931e+01 0.000000000000000000e+00
-2.428819999999999979e+01 0.000000000000000000e+00
-2.427580000000000027e+01 0.000000000000000000e+00
-2.426350000000000051e+01 0.000000000000000000e+00
-2.425109999999999744e+01 0.000000000000000000e+00
-2.423879999999999768e+01 0.000000000000000000e+00
-2.422639999999999816e+01 0.000000000000000000e+00
-2.421399999999999864e+01 0.000000000000000000e+00
-2.420169999999999888e+01 3.946123890176508944e-09
-2.418929999999999936e+01 2.596175404995174525e-08
-2.417699999999999960e+01 1.522151235568329079e-07
-2.416460000000000008e+01 7.736300784624502815e-07
-2.415220000000000056e+01 3.533135387661959464e-06
-2.413989999999999725e+01 1.458886559546410207e-05
-2.412749999999999773e+01 5.478478915205364325e-05
-2.411509999999999820e+01 1.881122384873794393e-04
-2.410279999999999845e+01 5.941337056580710914e-04
-2.409039999999999893e+01 1.737416303414939531e-03
-2.407809999999999917e+01 4.737177394722633453e-03
-2.406569999999999965e+01 1.212953758301611902e-02
-2.405330000000000013e+01 2.936800855570042765e-02
-2.404100000000000037e+01 6.765614136992320615e-02
-2.402859999999999729e+01 1.490756759745356652e-01
-2.401619999999999777e+01 3.154723132807731867e-01
-2.400389999999999802e+01 6.431731404642808680e-01
-2.399149999999999849e+01 1.266294489471009754e+00
-2.397919999999999874e+01 2.412081537859007696e+00
-2.396679999999999922e+01 4.452251653518259467e+00
-2.395439999999999969e+01 7.974399056248081763e+00
-2.394209999999999994e+01 1.387665614161220695e+01
-2.392970000000000041e+01 2.348627462321109505e+01
-2.391739999999999711e+01 3.869775986665028711e+01
-2.390499999999999758e+01 6.211803491264490162e+01
-2.389259999999999806e+01 9.719491361081834668e+01
-2.388029999999999831e+01 1.482923762763475963e+02
-2.386789999999999878e+01 2.206651070203839708e+02
-2.385549999999999926e+01 3.202806636844282480e+02
-2.384319999999999951e+01 4.534465024310921422e+02
-2.383079999999999998e+01 6.262254221003890962e+02
-2.381850000000000023e+01 8.436670124604737566e+02
-2.380609999999999715e+01 1.108937808573443590e+03
-2.379369999999999763e+01 1.422485437317980541e+03
-2.378139999999999787e+01 1.781404275504960424e+03
-2.376899999999999835e+01 2.179165824570497534e+03
-2.375669999999999860e+01 2.605828421332116704e+03
-2.374429999999999907e+01 3.048753754964948257e+03
-2.373189999999999955e+01 3.493751450020558877e+03
-2.371959999999999980e+01 3.926475828133161940e+03
-2.370720000000000027e+01 4.333838486053110501e+03
-2.369479999999999720e+01 4.705194079936896742e+03
-2.368249999999999744e+01 5.033106177048198333e+03
-2.367009999999999792e+01 5.313590576554650397e+03
-2.365779999999999816e+01 5.545839968269171550e+03
-2.364539999999999864e+01 5.731529312898759599e+03
-2.363299999999999912e+01 5.873865495144406850e+03
-2.362069999999999936e+01 5.976568472186804684e+03
-2.360829999999999984e+01 6.042956680288157258e+03
-2.359600000000000009e+01 6.075267469842440732e+03
-2.358360000000000056e+01 6.074287820873198143e+03
-2.357119999999999749e+01 6.039314551015540928e+03
-2.355889999999999773e+01 5.968415845787011676e+03
-2.354649999999999821e+01 5.858931627360842867e+03
-2.353409999999999869e+01 5.708129295681081203e+03
-2.352179999999999893e+01 5.513921448992121441e+03
-2.350939999999999941e+01 5.275550472030350647e+03
-2.349709999999999965e+01 4.994149639565755933e+03
-2.348470000000000013e+01 4.673101839797768662e+03
-2.347230000000000061e+01 4.318136914141640773e+03
-2.345999999999999730e+01 3.937138535202867388e+03
-2.344759999999999778e+01 3.539670745282548069e+03
-2.343529999999999802e+01 3.136278026061032051e+03
-2.342289999999999850e+01 2.737652481047479796e+03
-2.341049999999999898e+01 2.353787167634870457e+03
-2.339819999999999922e+01 1.993237614403657290e+03
-2.338579999999999970e+01 1.662591447006982662e+03
-2.337340000000000018e+01 1.366203449634876051e+03
-2.336110000000000042e+01 1.106201193013385137e+03
-2.334869999999999735e+01 8.827181832870957123e+02
-2.333639999999999759e+01 6.942790660663463314e+02
-2.332399999999999807e+01 5.382508046375764934e+02
-2.331159999999999854e+01 4.112838165608622489e+02
-2.329929999999999879e+01 3.096907872802473776e+02
-2.328689999999999927e+01 2.297386755271264462e+02
-2.327459999999999951e+01 1.678528202019624587e+02
-2.326219999999999999e+01 1.207463501413524511e+02
-2.324980000000000047e+01 8.549296213696574398e+01
-2.323749999999999716e+01 5.955940055269965683e+01
-2.322509999999999764e+01 4.080953098739495033e+01
-2.321269999999999811e+01 2.748783963686848963e+01
-2.320039999999999836e+01 1.818790599600793101e+01
-2.318799999999999883e+01 1.181073031189019851e+01
-2.317569999999999908e+01 7.517797249894505818e+00
-2.316329999999999956e+01 4.683513136310073044e+00
-2.315090000000000003e+01 2.850782367263286599e+00
-2.313860000000000028e+01 1.692148870928223747e+00
-2.312619999999999720e+01 9.775343702492905740e-01
-2.311389999999999745e+01 5.485085830470587398e-01
-2.310149999999999793e+01 2.983678908406163788e-01
-2.308909999999999840e+01 1.570355336968997095e-01
-2.307679999999999865e+01 7.980077125059840959e-02
-2.306439999999999912e+01 3.905367305322587912e-02
-2.305199999999999960e+01 1.834350567255262771e-02
-2.303969999999999985e+01 8.231769029422205883e-03
-2.302730000000000032e+01 3.508939447982415468e-03
-2.301500000000000057e+01 1.411024367134929968e-03
-2.300259999999999749e+01 5.311938640305270383e-04
-2.299019999999999797e+01 1.857253724772811164e-04
-2.297789999999999822e+01 5.982669560274646395e-05
-2.296549999999999869e+01 1.760836813506601857e-05
-2.295319999999999894e+01 4.690737871022353716e-06
-2.294079999999999941e+01 1.115837856317830343e-06
-2.292839999999999989e+01 2.301003857066881072e-07
-2.291610000000000014e+01 3.780012572048127291e-08
-2.290370000000000061e+01 3.946123890176508944e-09
-2.289130000000000109e+01 0.000000000000000000e+00
-2.287900000000000134e+01 0.000000000000000000e+00
-2.286659999999999826e+01 0.000000000000000000e+00
-2.285429999999999851e+01 0.000000000000000000e+00
-2.284189999999999898e+01 0.000000000000000000e+00
-2.282949999999999946e+01 0.000000000000000000e+00
